TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
32150630,32150630.01,,1.494,1.490921,11.9631,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
32150630,32150630.02,,1.489,1.490921,11.9631,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
39018208,39018208.01,,6.646,6.649337,11.1032,Y,Y,,,FP(EB),N,,,lipponen,
41896812,41896812.01,,1.259,1.260549,10.7553,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
41896812,41896812.02,,1.263,1.260549,10.7553,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
46627823,46627823.01,,6.005,6.004997,11.0395,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
50380257,50380257.01,,1.349,1.348477,9.237701,Y,Y,,,FP(EB),N,Synchronized; secondary,,lipponen,
52079677,52079677.01,,9.035,9.029811,11.9028,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
52079677,52079677.02,,9.042,9.029811,11.9028,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
52449797,52449797.01,,2.45,4.899041,10.5946,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
54256015,54256015.01,,4.904,4.9045,10.3404,Y,Y,Y,N,FP(EB),N,newCTOI; large likely EB; 1000 ppm secondary,,gsun,
55404385,55404385.01,,2.95,2.952049,6.6081,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
55404385,55404385.02,,2.95,2.952049,6.6081,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
55497281,55497281.01,,14.903,14.90555,7.198,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
55524055,55524055.01,,2.649,2.649465,11.8378,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
55524055,55524055.02,,2.649,2.649465,11.8378,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
70442570,70442570.01,,11.527,11.527153,5.6605,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
70442570,70442570.02,,11.5,11.527153,5.6605,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
78740218,78740218.01,,2.56,2.558682,11.9019,Y,Y,,,FP(EB),N,,,cloutier,
91369561,91369561.02,,3.993,3.983716,10.9545,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
91369561,91369561.03,,3.992,3.983716,10.9545,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
92320552,92320552.01,,1.623,1.622,9.892901,Y,Y,,,FP(EB),N,Preliminary Vetting with DAVE,,rao,
92350408,92350408.01,,2.956,2.957841,11.0276,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,deen,qlp
92594505,92594505.01,,22.869,22.870032,8.043,Y,Y,,,FP(EB),N,Too large,,lipponen,
99086567,99086567.01,,11.85,11.857,7.5016,Y,Y,,,FP(EB),N,newCTOI,off target in spoc s33 and spoc s34,gsun,spoc
102169275,102169275.01,,6.55,6.5499,11.6886,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,spoc
115115136,115115136.01,,3.971,3.961847,11.3959,Y,Y,,,FP(EB),N,,,lipponen,
115115136,115115136.02,,4,3.961847,11.3959,Y,Y,,,FP(EB),N,,,lipponen,
115410334,115410334.01,,13.424,13.442,8.86497,Y,Y,,,FP(EB),N,Centroid offset + depth-aperture correlation,"seems close to a grazing transit, but not quite.",deen,
118084297,118084297.01,,15.803,15.803,11.2718,Y,Y,Y,N,FP(EB),N,newCTOI; Y1 and s36 SPOC shows eccentric EB,,gsun,spoc
118084297,118084297.01,,15.803,15.797,11.2718,Y,Y,,,FP(EB),N,newCTOI,,gsun,spoc
121420805,121420805.01,,1.72,1.716666,11.3169,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
121420805,121420805.02,,1.72,1.716666,11.3169,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
122897814,122897814.01,,3.2,3.2003,10.5333,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
126945917,126945917.01,,1.348,1.341009,9.1063,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
126945917,126945917.02,,1.342,1.341009,9.1063,Y,Y,,,FP(EB),N,Primary/secondary,,lipponen,
129268651,129268651.01,,5.965,5.962751,13.8728,Y,Y,,,FP(EB),N,,primary with a secondary,cloutier,
135050395,135050395.01,,6.76,6.76,9.5765,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,spoc
136886352,136886352.01,,2.722,1.3589,10.9402,Y,Y,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
137205922,137205922.01,,3.3,3.2996,10.595,Y,Y,,,FP(EB),N,33 Re,V/U-shaped graze but no secondary. Coincides with stellar variability,deen,
140659980,140659980.01,,9.442,9.440329,8.984901,Y,Y,,,FP(EB),N,,,lipponen,
140659980,140659980.02,,9.438,9.440329,8.984901,Y,Y,,,FP(EB),N,,,lipponen,
