TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
65879889.0,65879889.01,,,2458492.141,DTARPS 087 in Melton+  arXiv:2302.06724
101179725.0,101179725.01,,,2458648.339,"new CTOI, Montalto et al. (2020)"
380884709.0,380884709.01,,,2459465.622,PHT candidate. Single transit event. Additional transit in K2 data.
142673457.0,142673457.01,,,2458387.704,DTARPS 157 in Melton+  arXiv:2302.06724
114056098.0,114056098.01,,,2458657.056,"new CTOI, Montalto (2022)"
387541380.0,387541380.01,,,,Found with our in-house single transit finder; Sector 31
118208859.0,118208859.01,,,2458518.635,DTARPS 131 in Melton+  arXiv:2302.06724
298659608.0,298659608.01,,,2458711.262,"new CTOI, Montalto (2022)"
411662605.0,411662605.01,1.561,,,"new CTOI likely member of Lupus association  , PATHOS-43 in Nardiello (2020)"
65166582.0,65166582.01,,,2458790.978,"Qual:B,NotCM?,4.8e+08yr,OffTarget?. Wrn: mean(R)=1.054. Rp=(0.94-2.95)Rj. b=0.03-0.90 (3-97HDI)."
428961332.0,428961332.01,,,2458788.971,"new CTOI, Montalto (2022)"
115171750.0,115171750.01,0.0,,,No report
271013213.0,271013213.01,0.62,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
233733562.0,233733562.01,,,,
233576872.0,233576872.01,1.518,,,Too large
11972578.0,11972578.01,,,2458542.7,"new CTOI, Montalto (2022)"
161132119.0,161132119.01,,,2458629.817,"new CTOI, Montalto (2022)"
417644279.0,417644279.01,10.884,,,planet candidate around evolved star. recon spectrum obtained
58946313.0,58946313.01,,,,
293855630.0,293855630.01,,,2458356.349,DTARPS 323 in Melton+  arXiv:2302.06724
101991992.0,101991992.01,,,2458355.861,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
251494772.0,251494772.01,,,2458795.089,"new CTOI likely member of SAI 25, PATHOS-54 in Nardiello et al. (2021)"
398102996.0,398102996.01,,,2458790.267,"new CTOI, Montalto (2022)"
140215502.0,140215502.01,,,,Found with our in-house single transit finder; Sector 32
178320314.0,178320314.01,,,2458396.146,"new CTOI, Montalto (2022)"
385274980.0,385274980.01,,,2458601.96,"Camera 2, CCD 2, Column 1551, Row 1343, Sector 11"
408038524.0,408038524.01,,,2458386.952,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
95857505.0,95857505.01,,,2458918.377,Found with our in-house single transit finder; transit finder output attached under 'Files'
344713453.0,344713453.01,,,2459490.965,Found with our in-house single transit finder; Sector 43
133323306.0,133323306.01,,,2458558.324,"Cand 1.1d HJ, Theia 988 (~500Myr; KC19). Short period rotn(?) signal too. Multisector."
308211363.0,308211363.01,,,,WINE single transit
399105267.0,399105267.01,,,2458929.777,single transit event from the TSTPC working group
343936388.0,343936388.01,,,2458412.408,DTARPS 381 in Melton+  arXiv:2302.06724
287328202.0,287328202.01,3.835,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
94589619.0,94589619.01,12.083,,,"new CTOI likely member of NGC 2437     , PATHOS-08 in Nardiello et al. (2020)"
219434595.0,219434595.01,,,,
128703021.0,128703021.01,0.0,,,Single transit; no report
434217306.0,434217306.01,,,2459491.047,"newCTOI, Single transit"
182992572.0,182992572.01,,,2458536.345,Discovered by my TESS duotransit pipeline in S8 & S35. Third transit in S61 confirmed period.
252803603.0,252803603.02,,,2458895.585,"very significant single transit, no others in preceding 25 days."
9376051.0,9376051.01,,,2458875.006,Found with our in-house single transit finder; transit finder output attached under 'Files'
123627758.0,123627758.01,,,2458518.266,DTARPS 138 in Melton+  arXiv:2302.06724
229786055.0,229786055.01,2.14,,,8.7 sigma odd/even; significant depth-aperture correlation
156096834.0,156096834.01,,,2458817.5,"Camera 1, CCD 3, Column 1398, Row 1714, Sector 19"
350432166.0,350432166.01,35.786,35.787,,"new CTOI, Montalto et al. (2020)"
325685403.0,325685403.01,,,,
261745577.0,261745577.01,,,2458324.5,"new CTOI, Montalto (2022)"
468963200.0,468963200.01,,,,Found with our in-house single transit finder
70927362.0,70927362.01,,,2458815.937,"new CTOI, Montalto (2022)"
279070369.0,279070369.01,,,2458416.537,WINE single transit
59942318.0,59942318.01,,,,Found with our in-house single transit finder
358086041.0,358086041.01,,,2459500.723,Slightly v-shaped
141522677.0,141522677.01,,,2459410.614,PHT candidate. Single transit event.
201175570.0,201175570.01,9.7,,,No TEV report; inflated Neptune candidate around evolved star
14564410.0,14564410.01,,,2458520.704,DTARPS 017 in Melton+  arXiv:2302.06724
206660104.0,206660104.01,13.451,,,No report
405421924.0,405421924.01,1.804,1.8043,,"new CTOI, Montalto et al. (2020)"
160083301.0,160083301.01,,,2458814.665,"new CTOI, Montalto (2022)"
441397924.0,441397924.01,,,2458327.459,DTARPS 449 in Melton+  arXiv:2302.06724
18380164.0,18380164.01,,,2458981.721,"new CTOI, Montalto (2022)"
240855518.0,240855518.01,,,,
237729561.0,237729561.01,,,2458467.851,"new CTOI, Montalto (2022)"
164365027.0,164365027.01,,,2458999.103,"single transit, ostensibly short period"
22642772.0,22642772.01,,,2459207.709,Found with our in-house single transit finder
99728663.0,99728663.01,,,2458841.728,"new CTOI, Montalto (2022)"
51022999.0,51022999.01,,,2458794.506,"new CTOI likely member of NGC 1027, PATHOS-48 in Nardiello et al. (2021)"
384888824.0,384888824.01,,,2458761.814,"new CTOI, Montalto (2022)"
165289668.0,165289668.01,,,2458492.911,DTARPS 189 in Melton+  arXiv:2302.06724
290557229.0,290557229.01,,,2458469.847,DTARPS 320 in Melton+  arXiv:2302.06724
453444539.0,453444539.01,,,,
455854202.0,455854202.01,,,2458739.32,hot Jupiter candidate transiting evolved star
461653423.0,461653423.01,,,2458842.055,"new CTOI, Montalto (2022)"
