TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
56935627,56935627.01,0.83,2458870.242,"new CTOI, Montalto (2022)"
57193196,57193196.01,4.396,2458955.245,"new CTOI, Montalto (2022)"
58843267,58843267.01,nan,2459496.472,Found with our in-house single transit finder; Sector 43
58946313,58946313.01,nan,2459533.132,Found with our in-house single transit finder; Sector 45
59183645,59183645.01,4.545,2458629.75,"potential planet candidate around evolved star, short duration, crowded field, possible BEB"
59280552,59280552.01,4.819,2458494.058,DTARPS 075 in Melton+  arXiv:2302.06724
59465088,59465088.01,3.505,2458469.058,DTARPS 076 in Melton+  arXiv:2302.06724
59490344,59490344.01,nan,2459509.798,PHT candidate. Single transit event.
59942318,59942318.01,nan,2459220.472,Found with our in-house single transit finder
60111182,60111182.01,0.37,2458325.63,All data obtained with the LightKurve framework
60369879,60369879.01,nan,2458326.966,Found with our in-house single transit finder
60419777,60419777.01,3.222,2458489.928,"new CTOI, Montalto (2022)"
60958874,60958874.01,nan,2459479.641,"newCTOI, single transit"
61126715,61126715.01,nan,2459570.191,Found with our in-house single transit finder; Sector 46
61202306,61202306.01,1.246,2458764.242,"new CTOI, Montalto (2022)"
61344237,61344237.01,8.681,2458470.586,DTARPS 078 in Melton+  arXiv:2302.06724
61404104,61404104.01,4.126,2458469.6,DTARPS 079 in Melton+  arXiv:2302.06724
61708231,61708231.01,1.098,2458469.871,DTARPS 080 in Melton+  arXiv:2302.06724
62003132,62003132.01,1.681,2458472.371,DTARPS 082 in Melton+  arXiv:2302.06724
62618413,62618413.01,7.02,2458654.15,All data obtained using the LightKurve framework
62632191,62632191.01,nan,2459259.02,Found with our in-house single transit finder
62917964,62917964.01,2.277,2458682.05,"new CTOI, Montalto (2022)"
63069576,63069576.01,1.617,2458682.466,"new CTOI, Montalto (2022)"
63120478,63120478.01,2.177,2458709.275,"new CTOI, Montalto (2022)"
63307184,63307184.01,0.842,2458898.607,"new CTOI, Montalto (2022)"
63322050,63322050.01,2.223,2458709.642,"new CTOI, Montalto (2022)"
63548665,63548665.01,4.815,2458680.734,"new CTOI, Montalto (2022)"
63720888,63720888.01,5.043,2458468.621,DTARPS 083 in Melton+  arXiv:2302.06724
63850008,63850008.01,7.38,2827349.0,all star data I took was from MAST and TESS
63889661,63889661.01,2.971,2458493.416,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
64070344,64070344.01,2.737,2458412.422,"new CTOI, Montalto et al. (2020)"
64329653,64329653.01,4.397,2458492.622,DTARPS 086 in Melton+  arXiv:2302.06724
64549889,64549889.01,nan,2459251.688,Found with our in-house single transit finder
64837857,64837857.01,20.329,2458753.105,Candidate from the XESP working group. Period from QLP. Details at: http://xjltp.china-vo.org/xesp.html
64837857,64837857.02,nan,2459876.91,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
64837857,64837857.03,nan,2459878.087,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
64837857,64837857.04,nan,2459880.899,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
65166582,65166582.01,2.099,2458790.978,"Qual:B,NotCM?,4.8e+08yr,OffTarget?. Wrn: mean(R)=1.054. Rp=(0.94-2.95)Rj. b=0.03-0.90 (3-97HDI)."
65259968,65259968.01,0.409,2458355.585,"new CTOI, Montalto (2022)"
