TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
138820713,138820713.01,,1.926,,11.1557,N,N,,,-,-,Corrected transit depth of 649.22 (+/-26.15) ppm,,spencer,
139470998,139470998.01,,121.8,,9.9103,N,N,,,-,-,Planet Hunters TESS candidate.,,eisner,
139726266,139726266.01,,,,9.7244,N,N,,,-,-,Found with our in-house single transit finder; Sector 32,,steuer,
139877968,139877968.01,4652.01,18.615,,12.1679,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
140215502,140215502.01,,,,11.2322,N,N,,,-,-,Found with our in-house single transit finder; Sector 32,,steuer,
140284423,140284423.01,,9.439,,12.3964,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
141979734,141979734.01,,24.533,,12.2724,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
142276270,142276270.05,1136,4.172,,8.9361,N,N,,,-,-,No report for this specific signal,,holstkristiansen,
142276270,142276270.06,1136,39.54128,,8.9361,N,N,,,-,-,"No report for this specific signal; porbably mix of other multi candidates, close to .01",,osborn,spoc
142305141,142305141.01,,1.96,,13.542,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
142628514,142628514.01,4218.01,2.626,,12.7868,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
142648205,142648205.01,,17.633,,11.592,N,N,,,-,-,WINE warm jupiter candidate,,brahm,
142784687,142784687.01,2575.01,3.171,,13.152,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
144124187,144124187.01,2395.01,15.718,,11.7622,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
144164538,144164538.01,,3.128,,13.6402,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
144297844,144297844.01,2394.01,3.496,,11.9522,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
144317256,144317256.01,,1.505,,11.2862,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
159059181,144995073.01,,20.021,,13.7462,N,N,,,-,-,"No report on TEV; new CTOI likely member of NGC 2669     , PATHOS-11 in Nardiello et al. (2020)",,nardiello,
146652799,146652799.01,,19.778,,11.6114,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
147034452,147034452.01,2758.01,4.53,,13.1915,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
147069011,147069011.01,,7.328,,12.5841,N,N,,,-,-,No report on TEV,,bouma,
147426828,147426828.01,,1.462,,14.1831,N,N,,,-,-,"No report on TEV; new CTOI likely member of NGC 2318     , PATHOS-13 in Nardiello et al. (2020)",,nardiello,
147797743,147797743.01,,3.692,,10.7447,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
147852475,147852475.01,,3.917,,10.4667,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
148478039,148478039.01,4974.01,10.608,,12.7126,N,N,,,-,-,WINE warm jupiter candidate,,brahm,
149391403,149391403.01,,5.23,,11.8304,N,N,,,-,-,Possible hot jupiter,,chiarello,
149508001,149508001.01,,0.721,,10.1997,N,N,,,-,-,Corrected transit depth of 366.38 (+/-81.29) ppm; USP candidate,,spencer,
149601126,149601126.01,2525.01,23.19,,13.4006,N,N,,,-,-,PHT candidate. Additional transits in the FFIs.,,eisner,
