TIC ID,CTOI,Transit Epoch (BJD),Period (days),Planet Radius (R_Earth),Duration (hours),Depth (mmag),CTOI Category
237201858,237201858.01,2458811.51,0.0,4.3,10.9,1.086,Promoted to TOI
237204346,237204346.01,2458684.274,3.046,2.072,3.502,0.276,Promoted to TOI
237205154,237205154.01,2458683.523,5.893,13.803,3.844,12.799,Promoted to TOI
237406657,237406657.01,2458470.639,3.747,3.425,4.793,0.255,Promoted to TOI
237637903,237637903.01,2458471.716,4.105,13.351,3.326,9.66,Promoted to TOI
237913194,237913194.01,2458319.151,15.169,1.24,nan,nan,Promoted to TOI
237922465,237922465.01,2458409.141,8.276,nan,nan,0.755,Promoted to TOI
238542895,238542895.01,2458485.889,8.384,nan,nan,nan,Promoted to TOI
238932509,238932509.01,2458595.897,3.493,nan,1.2,14.68,Promoted to TOI
239638934,239638934.01,2458712.806,6.001,9.266,4.2,5.753,Promoted to TOI
239816546,239816546.01,2458816.314,2.989,15.55,3.019,13.753,Promoted to TOI
243187830,243187830.01,2458783.77,0.0,2.0,2.5,0.652,Promoted to TOI
243333538,243333538.01,2458684.275,2.999,5.688,2.97,2.718,Promoted to TOI
243335710,243335710.01,2458689.158,13.702,17.28,5.964,12.213,Promoted to TOI
248387177,248387177.01,2459132.818,nan,8.113,3.792,9.914,Promoted to TOI
248655096,248655096.01,2458439.638,2.762,2.93,2.163,1.144,Promoted to TOI
248655556,248655556.01,2458440.246,13.118,12.533,4.576,4.771,Promoted to TOI
250707118,250707118.01,2458797.579,11.446,13.777,4.012,8.509,Promoted to TOI
252469648,252469648.01,2458872.729,5.918,2.496,2.647,1.415,Promoted to TOI
255588086,255588086.01,2459963.647,0.897,10.0,1.7,2.783,Promoted to TOI
255780160,255780160.01,2458470.528,3.877,3.61,3.225,0.659,Promoted to TOI
256158543,256158543.01,2458627.062,5.065,15.058,4.432,10.78,Promoted to TOI
256349966,256349966.01,2458753.578,14.587,12.731,0.177,4.754,Promoted to TOI
256722647,256722647.01,2458800.5,2.923,nan,7.0,4.025,Promoted to TOI
257060897,257060897.01,2458683.378,3.66,18.286,4.662,8.586,Promoted to TOI
257067559,257067559.01,2458492.005,3.483,14.633,3.674,6.118,Promoted to TOI
257527578,257527578.01,2458432.977,nan,nan,nan,3.916,Promoted to TOI
257605131,257605131.02,2458411.005,1.858,1.85,1.712,0.421,Promoted to TOI
257605131,257605131.03,2458411.791,3.064,1.82,3.723,0.41,Promoted to TOI
258234731,258234731.01,2459964.625,6.424,14.84,4.0,21.533,Promoted to TOI
258389327,258389327.01,2458691.865,26.542,18.28,3.017,10.823,Promoted to TOI
258510872,258510872.01,2458716.126,6.543,15.47,4.036,7.079,Promoted to TOI
258871793,258871793.01,2458684.154,9.146,12.82,4.774,9.245,Promoted to TOI
258917846,258917846.01,2458605.097,32.29,4.8,8.3,1.402,Promoted to TOI
258920431,258920431.01,2458684.647,5.984,11.994,5.577,4.056,Promoted to TOI
260004324,260004324.01,2458357.937,3.816,1.15,nan,nan,Promoted to TOI
260417932,260417932.02,2458318.371,7.986,1.84,0.115,0.515,Promoted to TOI
260849386,260849386.01,2458491.712,0.517,4.48,0.05,0.394,Promoted to TOI
261135533,261135533.01,2458744.263,14.48,1.455,2.433,1.605,Promoted to TOI
261257684,261257684.02,2459386.3,83.98,nan,6.0,2.174,Promoted to TOI
262689575,262689575.01,2459449.418,1.616,1.094,1.545,0.312,Promoted to TOI
262843259,262843259.01,2458357.615,nan,nan,nan,1.412,Promoted to TOI
264052454,264052454.01,2459719.635,2.347,9.5,1.5,6.534,Promoted to TOI
264544388,264544388.01,2458824.8,0.0,3.5,15.0,0.543,Promoted to TOI
265010875,265010875.01,2458494.084,6.409,nan,nan,nan,Promoted to TOI
265076459,265076459.01,2458494.569,3.405,nan,nan,8.502,Promoted to TOI
267545252,267545252.01,2458683.53,3.379,13.799,3.093,19.44,Promoted to TOI
268187322,268187322.01,2458496.527,5.479,15.923,4.639,6.162,Promoted to TOI
268301217,268301217.01,2458544.41,0.947,13.36,1.105,14.317,Promoted to TOI
268604331,268604331.01,2458686.743,5.013,nan,4.085,1.209,Promoted to TOI
268823307,268823307.01,2458685.348,3.547,nan,5.798,6.901,Promoted to TOI
269243313,269243313.01,2459802.485,9.735,4.2,4.8,0.977,Promoted to TOI
